"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.760798100E-2,-8.879604936E-2,3.327844292E-2,-2.224855423E-1
6.773981700E-2,-1.323128343E-1,6.281667203E-2,-1.059026718E-1
7.787165300E-2,-1.253221780E-1,3.649199381E-2,-5.029106140E-2
8.800348900E-2,-9.442724288E-2,3.800158948E-2,-2.504253387E-2
9.816584200E-2,-5.665437877E-2,4.469528794E-2,-3.194808960E-4
1.083281960E-1,-2.933251858E-2,5.805366114E-2,1.899147034E-2
1.184905490E-1,-3.711029887E-3,4.598702118E-2,3.699398041E-2
1.286223850E-1,-1.190438867E-3,1.901889406E-2,3.537368774E-2
1.387847390E-1,-1.647634804E-2,3.355232999E-3,-1.061534882E-2
1.489470920E-1,-3.450210392E-2,-1.130496059E-2,-5.709457397E-2
1.591094460E-1,-4.388949275E-2,-1.557458751E-2,-9.571647644E-2
1.692717990E-1,-5.024302006E-2,7.477084175E-3,-8.895683289E-2
1.794646700E-1,-4.979066551E-2,1.806491986E-2,-8.106040955E-2
1.896270240E-1,-2.481506765E-2,3.055812605E-2,-6.708240509E-2
1.997893770E-1,-2.204115689E-2,3.571697325E-2,-6.079578400E-2
2.099517310E-1,-2.198657393E-2,2.981309220E-2,-5.052947998E-2
2.201140840E-1,-1.961089671E-2,3.113813698E-2,-2.726459503E-2
2.302764380E-1,-2.201603353E-2,2.101651952E-2,-7.378578186E-3
2.404387910E-1,-3.560216725E-2,1.827815920E-2,2.320289612E-3
2.506011450E-1,-2.462804317E-2,2.261827514E-2,2.547454834E-2
2.607634980E-1,-2.734574676E-2,1.055615395E-2,3.606796265E-2
2.709258520E-1,-2.266091108E-2,-3.175999969E-3,4.396247864E-2
2.810882050E-1,-2.044807374E-2,-1.168689132E-2,2.592182159E-2
2.912505590E-1,-2.785073221E-2,-1.744934544E-2,-9.938240051E-3
3.014129120E-1,-2.563528717E-2,-1.353242621E-2,-4.220485687E-2
3.115752660E-1,-2.863110602E-2,4.643108696E-3,-4.057979584E-2
3.217376190E-1,-2.310794592E-2,2.718338370E-2,4.539489746E-4
3.318999730E-1,-3.996874392E-2,5.834451318E-2,4.932498932E-2
3.420928440E-1,-2.240830660E-2,8.389966190E-2,-1.560020447E-2
3.522551980E-1,4.593805969E-2,6.502112746E-2,-1.272058487E-1
3.624175510E-1,8.008791506E-2,3.218908608E-2,-5.280685425E-2
3.725799050E-1,5.091169477E-2,1.070021465E-2,8.907508850E-2
3.827422580E-1,-1.665356755E-2,-3.417514265E-2,1.309194565E-1
3.929046120E-1,-5.604904890E-2,-3.893875331E-2,5.438518524E-2
4.030669650E-1,-4.505980015E-2,-3.463670239E-2,-1.113672256E-1
4.132293190E-1,-1.610383391E-2,-3.404073417E-3,-2.280111313E-1
4.233916720E-1,-2.242688835E-2,3.653705493E-2,-1.609296799E-1
4.335540260E-1,-4.034411907E-2,7.062522322E-2,-1.929283142E-3
4.437163790E-1,-5.378144979E-2,7.589477301E-2,1.626024246E-1
4.538787330E-1,-2.692645788E-2,7.703565806E-2,2.692251205E-1
4.640410860E-1,-9.734302759E-3,4.905398190E-2,2.486734390E-1
4.742034400E-1,1.069530845E-3,1.165134832E-2,1.182851791E-1
4.843657930E-1,-6.401091814E-4,-1.492043957E-2,-3.726482391E-2
4.945281470E-1,-9.731605649E-3,-4.793671146E-2,-1.305303574E-1
5.047210180E-1,-2.055424452E-2,-6.018692255E-2,-1.182851791E-1
5.148833710E-1,-4.942305386E-2,-5.413132533E-2,-4.036998749E-2
5.250457250E-1,-7.053679228E-2,-3.051458299E-2,3.349876404E-2
5.352080780E-1,-6.305608153E-2,1.412673667E-2,6.343555450E-2
5.453704320E-1,-3.219616413E-2,6.250293553E-2,6.457042694E-2
5.555327850E-1,4.967421293E-3,9.084811807E-2,5.386447906E-2
5.656951390E-1,3.861472011E-2,1.045816988E-1,2.930641174E-2
5.758574920E-1,4.774598777E-2,7.840837538E-2,1.933574677E-2
5.860198460E-1,4.731217027E-2,4.603757709E-2,3.319740295E-2
5.961821990E-1,3.763632476E-2,-4.360215738E-3,3.975963593E-2
6.063445530E-1,2.586291730E-2,-1.864054613E-2,5.091381073E-2
6.165069070E-1,3.325028718E-2,-1.636882685E-2,5.000972748E-2
6.266692600E-1,1.441590488E-2,-2.171949111E-2,5.636310577E-2
6.368316140E-1,-2.053861320E-2,-2.549438737E-2,1.595325470E-1
6.470244850E-1,-3.295315802E-2,2.203151584E-3,2.276802063E-1
6.571868380E-1,-1.335722208E-2,3.477153182E-2,8.430957794E-2
6.673491920E-1,1.573845744E-3,5.475472286E-2,-8.007049561E-2
6.775115450E-1,-3.617869318E-2,6.679502875E-2,-1.329498291E-1
6.876738990E-1,-7.667525113E-2,5.544687808E-2,-1.141071320E-1
6.978362520E-1,-7.450780272E-2,4.238403589E-2,-3.411388397E-2
7.079986060E-1,-2.983082831E-2,4.318609461E-2,4.451179504E-2
7.181609590E-1,1.427021623E-2,5.175464973E-2,1.099157333E-1
7.283233130E-1,3.136892617E-2,5.093143135E-2,1.033296585E-1
7.384856660E-1,3.325453401E-2,5.716116354E-2,8.508110046E-2
7.486480200E-1,2.511525154E-2,5.148487538E-2,5.057907104E-2
7.588103730E-1,-4.372417927E-3,2.499958687E-2,2.607440948E-2
7.689727270E-1,-2.418172359E-2,-3.065193072E-3,-5.108833313E-3
7.791350800E-1,-4.364536703E-2,-1.364675537E-2,-1.208686829E-2
7.893279510E-1,-4.877848923E-2,-2.153016627E-2,1.651859283E-2
7.994903050E-1,-3.473782539E-2,8.252635598E-3,4.699611664E-2
8.096526580E-1,-2.763712406E-2,2.993277460E-2,7.224464417E-2
8.198150120E-1,-1.832965016E-2,4.337567836E-2,8.050251007E-2
8.299773660E-1,-1.141688228E-2,6.086170673E-2,6.259155273E-2
8.401397190E-1,-1.177029312E-2,5.438309908E-2,2.614498138E-2
8.503020730E-1,-9.914994240E-3,5.814870447E-2,2.108287811E-2
8.604644260E-1,-1.982416213E-2,6.313943863E-2,3.970623016E-2
8.706267800E-1,-3.158673644E-2,5.321536958E-2,2.965927124E-2
8.807891330E-1,-3.538422287E-2,5.043024570E-2,-3.782272339E-3
8.909514870E-1,-2.910999954E-2,3.133157641E-2,-3.898048401E-2
9.011138400E-1,-2.279368043E-2,1.293703914E-2,-7.822418213E-2
9.113067110E-1,-2.150011063E-2,-4.706680775E-3,-8.127784729E-2
9.214690650E-1,-2.994401753E-2,-8.133232594E-3,-6.524848938E-2
9.316314180E-1,-2.434958518E-2,4.187166691E-3,-4.471492767E-2
9.417937720E-1,3.173947334E-6,9.605422616E-3,-5.554199219E-3
9.519561250E-1,1.415760815E-2,1.217192411E-2,5.192661285E-2
9.621184790E-1,2.750043571E-2,2.477836609E-2,1.273622513E-1
9.722808320E-1,2.087152004E-2,1.779547334E-2,1.966781616E-1
9.824431860E-1,-2.830117941E-3,2.841168642E-2,2.150650024E-1
9.926055390E-1,-1.664891839E-2,3.034377098E-2,1.739320755E-1
1.002767893E0,-2.012416720E-2,2.206367254E-2,1.169281006E-1
1.012930246E0,-6.680637598E-3,9.928315878E-3,8.928012848E-2
1.023092600E0,-4.351353645E-2,2.102825046E-2,3.585147858E-2
1.033254953E0,-2.616328001E-2,5.113440752E-2,-7.106113434E-2
1.043417307E0,2.850502729E-2,4.731577635E-2,-1.451587677E-1
1.053579660E0,8.983552456E-2,2.720645070E-2,-1.493511200E-1
1.063742014E0,7.499539852E-2,-4.741817713E-3,-1.375675201E-2
1.073934885E0,-2.411261201E-2,-4.510584474E-2,1.381883621E-1
1.084097239E0,-6.857256591E-2,-4.107329249E-2,3.450012207E-2
1.094259592E0,-3.564846516E-2,-1.370313764E-2,-1.403875351E-1
1.104421946E0,-9.628087282E-4,1.671308279E-2,-9.220886230E-2
1.114584299E0,-2.803489566E-2,5.441850424E-2,1.559238434E-1
1.124746653E0,-7.653367519E-2,6.602257490E-2,3.191375732E-1
1.134909006E0,-8.067679405E-2,6.677743793E-2,2.170515060E-1
1.145071360E0,-7.434402406E-2,7.227978110E-2,1.985359192E-2
1.155233713E0,-4.779295623E-2,8.026403189E-2,-1.148433685E-1
1.165396067E0,-1.429258287E-2,4.291683435E-2,-1.336727142E-1
1.175558420E0,-3.159910440E-3,-3.661036491E-3,-5.045890808E-2
1.185720774E0,1.034797728E-2,-4.624253511E-2,3.365421295E-2
1.195883127E0,-7.395744324E-4,-8.164173365E-2,8.801651001E-2
1.206045481E0,-2.403163910E-2,-7.517004013E-2,9.179878235E-2
1.216238352E0,-3.402352333E-2,-1.778191328E-2,6.949615479E-2
1.226400705E0,-4.353630543E-2,6.015545130E-2,4.289531708E-2
1.236563059E0,-4.850548506E-2,1.599954963E-1,-1.397609711E-2
1.246725412E0,-1.819932461E-2,2.333758473E-1,-9.322261810E-2
1.256887766E0,1.585382223E-2,2.373454571E-1,-4.300594330E-2
1.267050119E0,4.238705337E-2,1.939945221E-1,8.697414398E-2
1.277212473E0,4.020565748E-2,8.822941780E-2,1.843032837E-1
1.287374826E0,2.118568122E-2,-1.255804300E-2,2.257394791E-1
1.297537180E0,-3.266587853E-3,-1.055666208E-1,1.859436035E-1
1.307699533E0,-9.395867586E-3,-1.467046142E-1,8.551311493E-2
1.317861887E0,-1.631709933E-2,-1.579610705E-1,7.414150238E-2
1.328024241E0,-2.133315802E-2,-1.524170041E-1,4.376983643E-2
1.338186594E0,1.304447651E-4,-1.118508577E-1,-3.342628479E-2
1.348379465E0,3.590482473E-2,-6.905823946E-2,-8.574676514E-2
1.358541819E0,3.993232548E-2,1.236093044E-2,-8.522701263E-2
1.368704172E0,5.230769515E-3,8.229953051E-2,-4.454612732E-2
1.378866526E0,-1.581904292E-2,1.172933578E-1,4.501438141E-2
1.389028879E0,-2.711255848E-2,1.146457195E-1,1.211080551E-1
1.399191233E0,-9.078048170E-3,1.150055528E-1,1.390790939E-1
1.409353586E0,1.154631376E-2,9.241312742E-2,1.329088211E-1
1.419515940E0,3.635184467E-2,5.511075258E-2,1.078672409E-1
1.429678293E0,2.679262310E-2,8.559644222E-3,1.115970612E-1
1.439840647E0,1.851394773E-4,-4.724866152E-2,1.577539444E-1
1.450003000E0,-2.116655558E-2,-8.176648617E-2,1.296472549E-1
1.460195871E0,-3.424263746E-2,-9.777283669E-2,4.053020477E-2
1.470358225E0,-3.879881650E-2,-9.540891647E-2,-2.123832703E-3
1.480520578E0,-4.497773945E-2,-9.900534153E-2,1.011753082E-2
1.490682932E0,-6.548109651E-2,-6.234592199E-2,3.136539459E-2
1.500845285E0,-6.738398224E-2,-4.124593735E-2,3.306674957E-2
1.511007639E0,-7.227910310E-2,-1.923179626E-2,3.199863434E-2
1.521169992E0,-5.800731480E-2,6.364643574E-3,4.605293274E-3
1.531332346E0,-5.438822508E-2,7.951319218E-3,-1.772785187E-2
1.541494699E0,-3.882993013E-2,1.755911112E-2,4.196166992E-4
1.551657053E0,-1.622302085E-2,2.138936520E-2,2.761459351E-2
1.561819407E0,4.872009158E-4,4.150974751E-2,6.376457214E-2
1.571981760E0,2.389665693E-2,5.488729477E-2,2.419471741E-3
1.582144114E0,2.401349694E-2,7.255768776E-2,-6.466388702E-2
1.592336985E0,-1.213364303E-3,7.864683867E-2,-8.303070068E-2
1.602499338E0,-3.425704688E-2,5.648124218E-2,-3.709030151E-2
1.612661692E0,-2.938765287E-2,1.430922747E-2,-1.549530029E-2
1.622824045E0,-1.279968768E-2,3.557085991E-3,-2.513122559E-2
1.632986399E0,8.821770549E-3,-1.720845699E-3,-9.591484070E-2
1.643148752E0,9.402796626E-3,6.603419781E-3,-1.392564774E-1
1.653311106E0,-6.744384766E-3,2.365899086E-2,-8.000087738E-2
1.663473459E0,-1.636975259E-2,2.655839920E-2,2.542495728E-2
1.673635813E0,-6.492882967E-4,3.309178352E-2,6.270217896E-2
1.683798166E0,1.222823560E-2,3.326970339E-2,6.142139435E-2
1.693960520E0,5.926065147E-3,2.017378807E-2,8.152294159E-2
1.704122873E0,-3.816848248E-2,3.888589144E-2,4.167079926E-2
1.714285227E0,-2.050902694E-2,8.777761459E-2,-1.532144547E-1
1.724447580E0,2.458099276E-2,7.655674219E-2,-6.547641754E-2
1.734609934E0,6.930078566E-2,4.344987869E-2,3.442287445E-2
1.744772287E0,8.101714402E-2,1.737672091E-2,-9.152698517E-2
1.754934641E0,1.329905540E-2,-3.497552872E-2,4.240798950E-2
1.765127512E0,-5.204160511E-2,-3.829652071E-2,-6.282806396E-3
1.775289866E0,-5.821946263E-2,8.298397064E-3,-2.333507538E-1
1.785452219E0,-5.371236056E-2,6.441599131E-2,-1.770524979E-1
1.795614573E0,-3.955466300E-2,7.940065861E-2,1.785030365E-1
1.805776926E0,-3.852051497E-2,1.001892090E-1,3.336553574E-1
1.815939280E0,-5.129522830E-2,9.200733900E-2,1.788749695E-1
1.826101633E0,-6.553854793E-2,1.025128365E-1,-3.223609924E-2
1.836263987E0,-4.729028791E-2,1.009391546E-1,-8.354854584E-2
1.846426340E0,-3.633976728E-2,6.439059973E-2,-2.515220642E-2
1.856588694E0,-3.166557848E-2,-4.862546921E-4,6.369590759E-3
1.866751047E0,-3.037909418E-2,-5.666399002E-2,2.329349518E-2
1.876913401E0,-3.259656578E-2,-8.693987131E-2,3.988075256E-2
1.887075754E0,-5.311410129E-2,-7.829409838E-2,4.181098938E-2
1.897268625E0,-5.471520126E-2,-2.226829529E-2,4.595756531E-2
1.907430979E0,-3.088179231E-2,3.765201569E-2,4.742813110E-2
1.917593332E0,-6.336703897E-3,8.060425520E-2,6.054592133E-2
1.927755686E0,1.682664454E-2,1.143476963E-1,6.380176544E-2
1.937918039E0,2.279160172E-2,1.064998507E-1,7.165908813E-2
1.948080393E0,2.193959057E-2,6.023442745E-2,6.521320343E-2
1.958242746E0,2.173577994E-2,2.122175694E-2,7.070255280E-2
1.968405100E0,9.595081210E-4,-1.830172539E-2,1.114358902E-1
1.978567453E0,9.226098657E-3,-2.164769173E-2,1.228361130E-1
1.988729807E0,5.524210632E-3,-3.697037697E-3,3.214931488E-2
1.998892160E0,8.931867778E-3,1.947057247E-2,3.072071075E-2
2.009054514E0,-1.145720482E-2,4.357844591E-2,9.280395508E-2
2.019216867E0,-1.666811854E-2,3.750729561E-2,-9.506225586E-3
2.029379221E0,1.500017196E-2,3.921288252E-2,-1.522846222E-1
2.039572092E0,2.813887596E-2,3.430229425E-2,-1.789360046E-1
2.049734446E0,1.216208935E-2,4.983007908E-2,-1.127071381E-1
2.059896799E0,-3.099066019E-2,5.132144690E-2,-2.619647980E-2
2.070059153E0,-5.823682249E-2,3.485953808E-2,-1.682758331E-2
2.080221506E0,-6.901176274E-2,2.843129635E-2,-5.951595306E-2
2.090383860E0,-3.219944239E-2,3.411269188E-2,-1.856517792E-2
2.100546213E0,-2.977982163E-3,3.649049997E-2,8.293914795E-2
2.110708567E0,6.500154734E-3,3.710269928E-2,9.981441498E-2
2.120870920E0,-3.597199917E-3,4.389446974E-2,4.554939270E-2
2.131033274E0,-2.555324137E-2,7.523274422E-2,-3.138732910E-2
2.141195627E0,-3.739881516E-2,1.180980802E-1,-7.366752625E-2
2.151357981E0,-3.680239618E-2,1.113938689E-1,-4.651451111E-2
2.161520334E0,-2.691543102E-2,9.052532911E-2,2.519702911E-2
2.171713205E0,-2.460749447E-2,4.251712561E-2,7.917690277E-2
2.181875559E0,-2.030855417E-2,3.918290138E-3,9.433555603E-2
2.192037912E0,-8.919924498E-3,-9.593784809E-3,6.897544861E-2
2.202200266E0,-1.925051212E-3,2.793884277E-2,3.923702240E-2
2.212362619E0,3.945529461E-4,5.716645718E-2,5.455017090E-4
2.222524973E0,-1.147428155E-2,8.644539118E-2,-2.086448669E-2
2.232687326E0,-3.042787313E-2,8.290570974E-2,-6.426811218E-3
2.242849680E0,-3.516685963E-2,7.780498266E-2,7.076263428E-4
2.253012033E0,-2.338384092E-2,5.168473721E-2,3.138542175E-2
2.263174387E0,-1.629130542E-2,2.763795853E-2,6.618785858E-2
2.273336741E0,-6.716936827E-3,1.896697283E-2,8.144092560E-2
2.283499094E0,3.067538142E-3,8.580327034E-3,9.629821777E-2
2.293661448E0,-1.060402393E-2,2.283596992E-2,4.691028595E-2
2.303854319E0,-4.813745618E-3,2.237707376E-2,-2.049255371E-2
2.314016672E0,-1.067069173E-2,4.215461016E-2,-4.402828217E-2
2.324179026E0,-1.190644503E-2,7.031893730E-2,-2.222537994E-2
2.334341379E0,-2.106589079E-2,7.567512989E-2,2.054214478E-2
2.344503733E0,-2.365709841E-2,6.218713522E-2,6.257438660E-2
2.354666086E0,-2.659963071E-2,3.161495924E-2,5.420684814E-2
2.364828440E0,-2.417553961E-2,2.173662186E-2,4.119300842E-2
2.374990793E0,9.569495916E-3,3.586500883E-3,6.621742249E-2
2.385153147E0,-1.157009602E-2,9.027123451E-4,1.001224518E-1
2.395315500E0,-3.972113132E-2,3.713399172E-2,5.701065063E-3
2.405477854E0,-2.511037886E-2,8.016034961E-2,-8.916759491E-2
2.415640207E0,2.987022698E-2,7.638773322E-2,1.146602631E-2
2.425802561E0,6.807747483E-2,6.825229526E-2,7.940673828E-2
2.435964914E0,4.257456958E-2,4.511624575E-2,8.717250824E-2
2.446127268E0,-3.585487604E-3,2.438864112E-2,8.770942688E-2
2.456320139E0,-5.602619052E-2,3.072300553E-2,-2.296447754E-2
2.466482492E0,-5.039352179E-2,8.422258496E-2,-2.095212936E-1
2.476644846E0,-2.339929342E-2,1.058962345E-1,-2.577304840E-1
2.486807199E0,-2.878692746E-2,1.226866543E-1,-3.794193268E-2
2.496969553E0,-4.122635722E-2,9.206569195E-2,1.945276260E-1
2.507131907E0,-4.572592676E-2,6.577232480E-2,2.574768066E-1
2.517294260E0,-5.238988996E-2,4.216951132E-2,1.255664825E-1
2.527456614E0,-5.568829179E-2,5.535984039E-2,-3.006553650E-2
2.537618967E0,-3.481508791E-2,5.897051096E-2,-1.263179779E-1
2.547781321E0,-2.136752009E-2,5.579158664E-2,-1.097650528E-1
2.557943674E0,-7.708713412E-3,1.958814263E-2,-2.509593964E-2
2.568136545E0,9.143501520E-3,-3.167846799E-2,8.177947998E-2
2.578298899E0,-1.285715401E-2,-4.880210757E-2,1.322364807E-1
2.588461252E0,-3.054906428E-2,-2.988505363E-2,1.133346558E-1
2.598623606E0,-3.505104780E-2,3.788828850E-3,4.036426544E-2
2.608785959E0,-4.405631125E-2,5.092674494E-2,1.121807098E-2
2.618948313E0,-3.039182723E-2,9.347751737E-2,1.804637909E-2
2.629110666E0,-1.830290258E-2,1.129324734E-1,3.182888031E-2
2.639273020E0,-2.378091216E-3,1.047502160E-1,4.305839539E-2
2.649435373E0,1.425206661E-3,7.633709908E-2,4.465484619E-2
2.659628244E0,-6.846025586E-3,5.787110329E-2,3.682327271E-2
2.669790598E0,-2.967494726E-2,5.142593384E-2,4.086303711E-2
2.679952951E0,-1.022206247E-2,3.988897800E-2,2.591705322E-2
2.690115305E0,-6.542056799E-4,2.793303132E-2,4.447078705E-2
2.700277658E0,-2.397570014E-2,1.524659991E-2,9.790420532E-2
2.710440012E0,-1.948590577E-2,1.131996512E-2,4.167938232E-2
2.720602366E0,1.723413169E-2,9.526252747E-3,-7.730579376E-2
2.730764719E0,1.159946620E-2,3.465819359E-2,-7.116317749E-2
2.740927073E0,-3.677566350E-2,4.382735491E-2,4.354190826E-2
2.751089426E0,-6.386522949E-2,6.208023429E-2,1.183643341E-1
2.761251780E0,-6.067639589E-2,6.722125411E-2,5.708789825E-2
2.771414133E0,-4.660880566E-2,7.922059298E-2,-2.899646759E-2
2.781576487E0,-2.204966545E-2,9.416109324E-2,-4.980278015E-2
2.791769358E0,8.360832930E-3,1.193222404E-1,-8.840560913E-3
2.801931711E0,1.861174405E-2,9.018567204E-2,6.689643860E-2
2.812063547E0,2.381221950E-2,7.544878125E-2,9.165859222E-2
2.822225901E0,2.197644114E-2,1.498028636E-2,7.812023163E-2
2.832388254E0,6.356775761E-3,-5.222350359E-3,2.465820312E-2
2.842581125E0,-1.349139214E-2,-2.764409781E-2,-1.368427277E-2
2.852743479E0,-2.813975513E-2,-1.390990615E-2,-2.063941956E-2
2.862905832E0,-3.753055632E-2,-2.405762672E-3,-1.807689667E-2
2.873068186E0,-3.917981684E-2,3.512406349E-2,-2.504158020E-2
2.883230539E0,-3.353618085E-2,6.540060043E-2,-2.943515778E-2
2.893392893E0,-2.348251641E-2,6.722301245E-2,-1.239967346E-2
2.903555246E0,-1.617537439E-2,7.646766305E-2,1.848506927E-2
2.913717600E0,-2.120411396E-2,6.183838844E-2,3.230953217E-2
2.923879953E0,-1.912170649E-2,5.194762349E-2,2.217674255E-2
2.934042307E0,-1.466298103E-2,3.967237473E-2,-4.250526428E-3
2.944204660E0,-2.433420718E-2,4.910838604E-2,-1.133441925E-2
2.954367014E0,-1.704980433E-2,4.935145378E-2,-1.353740692E-2
2.964529367E0,-1.224583387E-2,4.290908575E-2,-3.897666931E-3
2.974722239E0,-1.939643919E-2,4.167500138E-2,1.503467560E-2
2.984884592E0,-1.712913811E-2,4.528021812E-2,1.713848114E-2
2.995046946E0,-1.485815644E-2,2.749308944E-2,2.155876160E-2
3.005209299E0,-1.011346281E-2,2.153810859E-2,1.877689362E-2
3.015371653E0,-1.004429162E-2,2.969509363E-2,-5.189895630E-3
3.025534006E0,-5.069911480E-3,2.820968628E-2,-1.222133636E-2
3.035696360E0,-7.092505693E-3,4.796913266E-2,1.870059967E-2
3.045858713E0,-6.830662489E-3,4.105877876E-2,3.965473175E-2
3.056021067E0,-6.767809391E-3,4.798674583E-2,4.360866547E-2
3.066183420E0,-1.173467934E-2,4.945626855E-2,1.201152802E-2
3.076345774E0,-2.381965518E-2,4.835078120E-2,-3.085231781E-2
3.086508127E0,-1.466512680E-2,5.949336290E-2,-4.927349091E-2
3.096670481E0,-8.166491985E-3,4.747161269E-2,-3.899383545E-2
3.106863352E0,-2.143174410E-3,3.608301282E-2,1.365470886E-2
3.117025705E0,-1.278977096E-2,2.709019184E-2,6.298732758E-2
3.127188059E0,-3.489272296E-2,1.244989038E-2,6.177425385E-2
3.137350412E0,-5.384251475E-2,1.381763816E-2,3.912925720E-3
3.147512766E0,-6.454765797E-2,2.915254235E-2,-2.222537994E-2
3.157675119E0,-2.499483526E-2,4.926151037E-2,1.836395264E-2
3.167837473E0,-2.410355210E-2,5.953061581E-2,7.945919037E-2
3.177999826E0,-4.783785343E-2,7.612943649E-2,7.315444946E-2
3.188162180E0,-2.295851707E-2,9.000608325E-2,-4.181957245E-2
3.198324533E0,2.715297043E-2,7.933175564E-2,-1.664094925E-1
3.208486887E0,7.762554288E-2,7.593253255E-2,-1.138401031E-1
3.218679758E0,6.931567192E-2,4.098004103E-2,4.013061523E-3
3.228842112E0,-1.930856705E-2,-1.014050841E-2,1.316051483E-1
3.239004465E0,-9.042285383E-2,-1.427537203E-2,7.241344452E-2
3.249166819E0,-6.109796464E-2,4.833608866E-3,-1.392421722E-1
3.259329172E0,-2.772767842E-2,4.428711534E-2,-2.359437943E-1
3.269491526E0,-2.211493254E-2,7.619759440E-2,-8.042716980E-2
3.279653879E0,-4.439379275E-2,9.702157974E-2,1.597461700E-1
3.289816233E0,-5.520661175E-2,9.446391463E-2,2.562446594E-1
3.299978586E0,-4.538230598E-2,8.894366026E-2,1.926794052E-1
3.310140940E0,-2.932959795E-2,7.192781568E-2,3.810214996E-2
